reaction,name,pct_st443,pct_others,pct_diff,p
rxn08199_c0,CDP-Diacylglycerol pyrophostatase (n-C12:0),28.57,0.0,28.57,0.0057455540355677145
rxn08546_c0,glycerol-3-phosphate acyltransferase (C12:0),28.57,0.0,28.57,0.0057455540355677145
rxn31980_c0,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",28.57,0.0,28.57,0.0057455540355677145
rxn06139_c0,"ATP:1,2-diacylglycerol 3-phosphotransferase",57.14,10.13,47.02,0.0063828322755727675
rxn10822_c0,L-arabinose transport via ABC system,100.0,49.37,50.63,0.013431144975171672
rxn05173_c0,L-arabinose transport via ABC system,100.0,49.37,50.63,0.013431144975171672
rxn02303_c0,Coproporphyrinogen:oxygen oxidoreductase(decarboxylating),100.0,49.37,50.63,0.013431144975171672
rxn07987_c0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),0.0,49.37,-49.37,0.014567189604122899
rxn11381_c0,BHBDCLOS-RXN.c,100.0,50.63,49.37,0.014567189604122899
rxn12220_c0,coproporphyrinogen oxidase,0.0,49.37,-49.37,0.014567189604122899
rxn06038_c0,(3R)-3-Hydroxyacyl-CoA:NADP+ oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn01453_c0,(R)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn09673_c0,TRANS-RXNAVI-26524.ce.brachyexp.CPD-3609_CPD-3609,100.0,50.63,49.37,0.014567189604122899
rxn12767_c0,(3R)-3-Hydroxyacyl-CoA:NADP+ oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn12768_c0,(R)-Hydroxyacyl-CoA:NADP oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn12769_c0,(3R)-3-Hydroxyacyl-CoA:NADP+ oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn12771_c0,(3R)-3-Hydroxyacyl-CoA:NADP+ oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn03861_c0,(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase,100.0,50.63,49.37,0.014567189604122899
rxn07993_c0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),0.0,49.37,-49.37,0.014567189604122899
rxn07992_c0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),0.0,49.37,-49.37,0.014567189604122899
