reaction,ec,kegg
rxn01939_c0,1.1.1.2,R02680
rxn01943_c0,1.2.1.29,
rxn01947_c0,2.6.1.1;2.6.1.27;2.6.1.57,
rxn01961_c0,3.1.3.5,R02719
rxn01962_c0,3.6.1.19;3.6.1.23;3.6.1.9,R02720
rxn01964_c0,4.2.1.20,R02722
rxn01973_c0,3.5.1.18,R02734
rxn01974_c0,5.1.1.7,R02735
rxn01977_c0,5.3.1.9,
rxn01985_c0,2.4.2.1,R02748
rxn01986_c0,2.7.5.6;5.4.2.7,R02749
rxn01993_c0,1.2.1.85,
rxn02008_c0,6.3.2.9,R02783
rxn02011_c0,6.3.2.13,R02788
rxn02046_c0,3.1.3.3,R02853
rxn02081_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02908
rxn02087_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02919
rxn02106_c0,1.1.1.70;1.2.1.3,R02940
rxn02122_c0,1.1.1.70;1.2.1.3,R02957
rxn02128_c0,2.7.1.33,R02971
rxn02138_c0,5.1.3.2,R02984
rxn02141_c0,1.3.1.32,R02988
rxn02142_c0,1.3.1.32,R02989
rxn02154_c0,3.6.1.19;3.6.1.23;3.6.1.9,R03004
rxn02155_c0,2.7.7.18,R03005
rxn02157_c0,1.14.11.13,R03008
rxn02159_c0,1.1.1.23,R03012
rxn02160_c0,3.1.3.15,R03013
rxn02166_c0,3.1.3.2,R03024
rxn02172_c0,4.2.1.5,R03032
rxn02173_c0,4.2.1.140;4.2.1.6,R03033
rxn02175_c0,2.7.7.3,R03035
rxn02176_c0,3.6.1.19;3.6.1.23;3.6.1.9,R03036
rxn02185_c0,2.2.1.6;4.1.3.18,R03050
rxn02186_c0,1.1.1.86;1.1.1.89,R03051
rxn02189_c0,1.1.1.195,R03054
rxn02200_c0,2.5.1.15,
rxn02201_c0,2.5.1.15,
rxn02208_c0,2.7.7.37,
rxn02212_c0,4.2.3.4;4.6.1.3,R03083
rxn02213_c0,4.2.1.10,R03084
rxn02228_c0,1.1.1.27,R03104
rxn02246_c0,2.5.1.47,R03132
rxn02264_c0,4.2.1.75,R03165
rxn02273_c0,1.2.1.54,R03177
rxn02277_c0,6.3.3.3,R03182
rxn02284_c0,1.1.1.158;1.3.1.98,
rxn02285_c0,1.1.1.158;1.3.1.98,
rxn02286_c0,6.3.2.8,
rxn02288_c0,4.1.1.37,R03197
rxn02297_c0,2.3.1.47,R03210
rxn02302_c0,2.5.1.48,
rxn02305_c0,2.5.1.3,R03223
rxn02312_c0,2.6.1.62,R03231
rxn02320_c0,2.6.1.9,R03243
rxn02331_c0,2.5.1.55;4.1.2.16,
rxn02350_c0,1.1.1.70;1.2.1.3;1.2.1.47,R03283
rxn02364_c0,1.1.1.70;1.2.1.29;1.2.1.3,R03300
rxn02369_c0,5.5.1.2,R03307
rxn02373_c0,1.2.1.41,R03313
rxn02374_c0,,R03314
rxn02379_c0,2.7.5.1;5.4.2.2,R03319
rxn02380_c0,5.3.1.9,
rxn02400_c0,3.1.3.5,R03346
rxn02404_c0,3.1.3.45,
rxn02405_c0,2.7.7.38,R03351
rxn02418_c0,3.1.3.26;3.1.3.62,R03372
rxn02449_c0,3.6.1.40,R03409
rxn02465_c0,1.2.1.38,R03443
rxn02473_c0,4.2.1.19,R03457
rxn02476_c0,2.5.1.19,R03460
rxn02484_c0,2.7.1.49,R03471
rxn02503_c0,2.7.6.3,R03503
rxn02504_c0,4.1.2.25,
rxn02507_c0,4.1.1.48,R03508
rxn02508_c0,5.3.1.24,R03509
rxn02517_c0,2.7.4.6,R03530
rxn02518_c0,3.6.1.19;3.6.1.23;3.6.1.9,R03531
