reaction,name
rxn00293_c0,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase
rxn00295_c0,UDP-N-acetyl-D-glucosamine 4-epimerase
rxn00297_c0,UDP-N-acetyl-D-glucosamine 2-epimerase
rxn00299_c0,"GTP 7,8-8,9-dihydrolase"
rxn00300_c0,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)"
rxn00301_c0,GTP diphosphohydrolase (diphosphate-forming)
rxn00302_c0,"GTP 8,9-hydrolase"
rxn00303_c0,ATP:GTP 3'-diphosphotransferase
rxn00304_c0,GTP:pyruvate 2-O-phosphotransferase
rxn00306_c0,Succinate:CoA ligase (GDP-forming)
rxn00313_c0,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)"
rxn00317_c0,L-Lysine:2-oxoglutarate 6-aminotransferase
rxn00320_c0,lysine racemase
rxn00322_c0,L-lysine carboxy-lyase (cadaverine-forming)
rxn00324_c0,glycolate:NADP+ oxidoreductase
rxn00326_c0,Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)
rxn00337_c0,ATP:L-aspartate 4-phosphotransferase
rxn00338_c0,L-aspartate:oxygen oxidoreductase
rxn00342_c0,L-Asparagine amidohydrolase
rxn00346_c0,L-aspartate 1-carboxy-lyase (beta-alanine-forming)
rxn00347_c0,L-Aspartate ammonia-lyase
rxn00350_c0,glutathione gamma-glutamylaminopeptidase
rxn00351_c0,gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)
rxn00355_c0,UTP:alpha-D-galactose-1-phosphate uridylyltransferase
rxn00358_c0,UDP-D-galactopyranose furanomutase
rxn00359_c0,3'-phosphoadenylyl-sulfate sulfohydrolase
rxn00360_c0,3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase
rxn00361_c0,ATP:adenylylsulfate 3'-phosphotransferase
rxn00363_c0,Cytidine-5'-monophosphate phosphohydrolase
rxn00364_c0,ATP:CMP phosphotransferase
rxn00379_c0,ATP:sulfate adenylyltransferase
rxn00380_c0,ADP:sulfate adenylyltransferase
rxn00383_c0,Sulfite:oxygen oxidoreductase
rxn00391_c0,riboflavin-5-phosphate phosphohydrolase (acid optimum)
rxn00392_c0,ATP:riboflavin 5'-phosphotransferase
rxn00394_c0,L-Arginine amidinohydrolase
rxn00401_c0,L-Arginine:oxygen 2-oxidoreductase (decarboxylating)
rxn00405_c0,L-arginine carboxy-lyase (agmatine-forming)
rxn00407_c0,CTP aminohydrolase
rxn00408_c0,CTP phosphohydrolase
rxn00409_c0,ATP:CDP phosphotransferase
rxn00410_c0,UTP:ammonia ligase (ADP-forming)
rxn00411_c0,CTP:pyruvate 2-O-phosphotransferase
rxn00412_c0,UTP:L-glutamine amido-ligase (ADP-forming)
rxn00414_c0,"hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)"
rxn00420_c0,O-phospho-L-serine phosphohydrolase
rxn00423_c0,acetyl-CoA:L-serine O-acetyltransferase
rxn00425_c0,serine racemase
rxn00426_c0,L-Serine hydro-lyase
rxn00427_c0,methanol:hydrogen-peroxide oxidoreductase
rxn00429_c0,Formaldehyde:NAD+ oxidoreductase
rxn00430_c0,methanol:NAD+ oxidoreductase
rxn00436_c0,Thiamin diphosphate phosphohydrolase
rxn00438_c0,ATP:thiamin-phosphate phosphotransferase
rxn00442_c0,alpha-ketoglutarate decarboxylase
rxn00444_c0,L-ascorbate:hydrogen-peroxide oxidoreductase
rxn00449_c0,R00647
rxn00453_c0,O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase
rxn00456_c0,L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)
rxn00459_c0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)
rxn00460_c0,UTP:pyruvate 2-O-phosphotransferase
rxn00461_c0,Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase
rxn00462_c0,"phosphoenolpyruvate 2,3-phosphonomutase"
rxn00463_c0,Uridine triphosphate pyrophosphohydrolase
rxn00470_c0,L-ornithine carboxy-lyase (putrescine-forming)
rxn00472_c0,ornithine racemase
rxn00474_c0,L-serine hydro-lyase (adding indole; L-tryptophan-forming)
rxn00483_c0,L-Tryptophan:2-oxoglutarate aminotransferase
rxn00490_c0,L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)
rxn00493_c0,L-Phenylalanine:2-oxoglutarate aminotransferase
rxn00499_c0,(S)-Lactate:NAD+ oxidoreductase
rxn00500_c0,(R)-Lactate:NAD+ oxidoreductase
rxn00503_c0,(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase
rxn00504_c0,(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase
rxn00505_c0,Isocitrate:NAD+ oxidoreductase (decarboxylating)
rxn00506_c0,Acetaldehyde:NAD+ oxidoreductase
rxn00507_c0,Acetaldehyde:NADP+ oxidoreductase
rxn00508_c0,Succinate-semialdehyde:NAD+ oxidoreductase
rxn00509_c0,Succinate-semialdehyde:NADP+ oxidoreductase
rxn00510_c0,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)"
rxn00511_c0,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)"
